"data";"tipo";"num_convenio";"cod_tci";"uf";"secretaria";"campo";"valor_anterior";"valor_atual"
"2026-04-08";"Alterado";"973215";"1-2021870";"ES";"SNSA";"situacao_da_analise_suspensiva";"Analisada com pendências";"Análise não iniciada"
"2026-04-08";"Alterado";"973222";"1-2018133";"AM";"SNSA";"situacao_da_analise_suspensiva";"Análise não iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"973944";"1-2033541";"CE";"SNSA";"dte_publicacao_licitacao";"";"2026-01-15"
"2026-04-08";"Alterado";"973944";"1-2033541";"CE";"SNSA";"dte_homologacao_licitacao";"";"2026-03-24"
"2026-04-08";"Alterado";"973944";"1-2033541";"CE";"SNSA";"flag_publicacao_licitacao";"NAO";"SIM"
"2026-04-08";"Alterado";"973944";"1-2033541";"CE";"SNSA";"flag_homologacao_licitacao";"NAO";"SIM"
"2026-04-08";"Alterado";"973944";"1-2033541";"CE";"SNSA";"ultima_data_relevante";"";"2026-03-24"
"2026-04-08";"Alterado";"973944";"1-2033541";"CE";"SNSA";"fase_atual";"SUSPENSIVA RETIRADA";"HOMOLOGACAO"
"2026-04-08";"Alterado";"973944";"1-2033541";"CE";"SNSA";"dias_publicacao_ate_homologacao";"";"68"
"2026-04-08";"Alterado";"973944";"1-2033541";"CE";"SNSA";"prazo_homolog_licitacao";"";"2026-05-15"
"2026-04-08";"Alterado";"973944";"1-2033541";"CE";"SNSA";"status_pub_licitacao";"Vencida";"Concluída em atraso"
"2026-04-08";"Alterado";"973944";"1-2033541";"CE";"SNSA";"status_homolog_licitacao";"";"Concluída no prazo"
"2026-04-08";"Alterado";"973949";"1-2033694";"CE";"SNSA";"dte_publicacao_licitacao";"";"2026-01-15"
"2026-04-08";"Alterado";"973949";"1-2033694";"CE";"SNSA";"dte_homologacao_licitacao";"";"2026-03-24"
"2026-04-08";"Alterado";"973949";"1-2033694";"CE";"SNSA";"flag_publicacao_licitacao";"NAO";"SIM"
"2026-04-08";"Alterado";"973949";"1-2033694";"CE";"SNSA";"flag_homologacao_licitacao";"NAO";"SIM"
"2026-04-08";"Alterado";"973949";"1-2033694";"CE";"SNSA";"ultima_data_relevante";"";"2026-03-24"
"2026-04-08";"Alterado";"973949";"1-2033694";"CE";"SNSA";"fase_atual";"SUSPENSIVA RETIRADA";"HOMOLOGACAO"
"2026-04-08";"Alterado";"973949";"1-2033694";"CE";"SNSA";"dias_publicacao_ate_homologacao";"";"68"
"2026-04-08";"Alterado";"973949";"1-2033694";"CE";"SNSA";"prazo_homolog_licitacao";"";"2026-05-15"
"2026-04-08";"Alterado";"973949";"1-2033694";"CE";"SNSA";"status_pub_licitacao";"Vencida";"Concluída em atraso"
"2026-04-08";"Alterado";"973949";"1-2033694";"CE";"SNSA";"status_homolog_licitacao";"";"Concluída no prazo"
"2026-04-08";"Alterado";"973950";"1-2033742";"CE";"SNSA";"dte_publicacao_licitacao";"";"2026-01-15"
"2026-04-08";"Alterado";"973950";"1-2033742";"CE";"SNSA";"dte_homologacao_licitacao";"";"2026-03-24"
"2026-04-08";"Alterado";"973950";"1-2033742";"CE";"SNSA";"flag_publicacao_licitacao";"NAO";"SIM"
"2026-04-08";"Alterado";"973950";"1-2033742";"CE";"SNSA";"flag_homologacao_licitacao";"NAO";"SIM"
"2026-04-08";"Alterado";"973950";"1-2033742";"CE";"SNSA";"ultima_data_relevante";"";"2026-03-24"
"2026-04-08";"Alterado";"973950";"1-2033742";"CE";"SNSA";"fase_atual";"SUSPENSIVA RETIRADA";"HOMOLOGACAO"
"2026-04-08";"Alterado";"973950";"1-2033742";"CE";"SNSA";"dias_publicacao_ate_homologacao";"";"68"
"2026-04-08";"Alterado";"973950";"1-2033742";"CE";"SNSA";"prazo_homolog_licitacao";"";"2026-05-15"
"2026-04-08";"Alterado";"973950";"1-2033742";"CE";"SNSA";"status_pub_licitacao";"Vencida";"Concluída em atraso"
"2026-04-08";"Alterado";"973950";"1-2033742";"CE";"SNSA";"status_homolog_licitacao";"";"Concluída no prazo"
"2026-04-08";"Alterado";"973953";"1-2032861";"RN";"SNSA";"situacao_da_analise_suspensiva";"Análise não iniciada";"Análise iniciada"
"2026-04-08";"Alterado";"973971";"1-2032862";"RN";"SNSA";"situacao_da_analise_suspensiva";"Análise não iniciada";"Análise iniciada"
"2026-04-08";"Alterado";"974020";"1-2032793";"MG";"SNSA";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"984847";"1-2141735";"CE";"SNSA";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"984868";"1-2140905";"CE";"SNSA";"situacao_da_analise_suspensiva";"Análise não iniciada";"Análise iniciada"
"2026-04-08";"Alterado";"984897";"1-2138961";"PA";"SNSA";"situacao_da_analise_suspensiva";"Doc. não enviada p/ análise";"Análise iniciada"
"2026-04-08";"Alterado";"985337";"1-2140482";"RS";"SNSA";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"985340";"1-2143136";"PA";"SNSA";"situacao_da_analise_suspensiva";"Doc. não enviada p/ análise";"Análise não iniciada"
"2026-04-08";"Alterado";"985390";"1-2137399";"RJ";"SNSA";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"986120";"1-2139872";"MT";"SNSA";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"986328";"1-2141232";"BA";"SNP";"situacao_da_analise_suspensiva";"Doc. não enviada p/ análise";"Análise não iniciada"
"2026-04-08";"Alterado";"986673";"1-2134617";"SP";"SNP";"dte_publicacao_licitacao";"";"2026-04-07"
"2026-04-08";"Alterado";"986673";"1-2134617";"SP";"SNP";"flag_publicacao_licitacao";"NAO";"SIM"
"2026-04-08";"Alterado";"986673";"1-2134617";"SP";"SNP";"ultima_data_relevante";"2026-02-27";"2026-04-07"
"2026-04-08";"Alterado";"986673";"1-2134617";"SP";"SNP";"fase_atual";"LAE";"PUBLICACAO LICITACAO"
"2026-04-08";"Alterado";"986673";"1-2134617";"SP";"SNP";"dias_ate_publicacao";"";"39"
"2026-04-08";"Alterado";"986673";"1-2134617";"SP";"SNP";"prazo_homolog_licitacao";"";"2026-08-05"
"2026-04-08";"Alterado";"986673";"1-2134617";"SP";"SNP";"status_pub_licitacao";"No prazo";"Concluída no prazo"
"2026-04-08";"Alterado";"986673";"1-2134617";"SP";"SNP";"status_homolog_licitacao";"";"No prazo"
